ABBRV,SCHOOL,NICKNAME
TEX,Texas,Longhorns
FLA,Florida,Gators
MIA,Miami,Hurricanes
VIR,Virginia,Cavaliers
CAL,California,Golden Bears
OKLA,Oklahoma,Sooners
ARI,Arizona,Wildcats
ARK,Arkansas,Razorbacks
KU,Kansas,Jayhawks
ORE,Oregon,Ducks
WASH,Washington,Huskies
MICH,Michigan,Wolverines
NEV,Nevada,Wolf Pack
GEOR,Georgia,Bulldogs
OKST,Oklahoma State,Cowboys
AUB,Auburn,Tigers
UNC,North Carolina,Tar Heels
COL,Colorado,Buffaloes
NEB,Nebraska,Cornhuskers
RUT,Rutgers,Scarlet Knights
HOU,Houston,Cougars
IND,Indiana,Hoosiers
TCU,TCU,Horned Frogs
MEM,Memphis,Tigers
UK,Kentucky,Wildcats
LSU,LSU,Tigers
FSU,Florida State,Seminoles
WAKE,Wake Forest,Demon Deacons
FRES,Fresno State,Bulldogs
MIZZ,Missouri,Tigers
STAN,Stanford,Cardinal
UCF,UCF,Knights
WV,West Virginia,Mountaineers
KSU,Kansas State,Wildcats
VT,Virginia Tech,Hokies
ARKST,Arkansas State,Red Wolves
BAY,Baylor,Bears
BUF,Buffalo,Bulls
CLEM,Clemson,Tigers
ORST,Oregon State,Beavers
MINN,Minnesota,Golden Gophers
GT,Georgia Tech,Yellow Jackets
SMISS,Southern Miss,Golden Eagles
SYR,Syracuse,Orange
ILL,Illinois,Fighting Illini
ND,Notre Dame,Fighting Irish
PENN,Penn State,Nittany Lions
TEN,Tennessee,Volunteers
TTU,Texas Tech,Red Raiders
USC,USC,Trojans
NM,New Mexico,Lobos
OSU,Ohio State,Buckeyes
PUR,Purdue,Boilermakers
BC,Boston College,Eagles
WIS,Wisconsin,Badgers
WYOM,Wyoming,Cowboys
SC,South Carolina,Gamecocks
TOL,Toledo,Rockets
WKU,Western Kentucky,Hilltoppers
MARY,Maryland,Terrapins
MSU,Michigan State,Spartans
PITT,Pittsburgh,Panthers
TEM,Temple,Owls
NTEX,North Texas,Mean Green
SJSU,San José State,Spartans
VAN,Vanderbilt,Commodores
ASU,Arizona State,Sun Devils
LOU,Louisville,Cardinals
HAW,Hawai'i,Rainbow Warriors
CIN,Cincinnati,Bearcats
EMU,Eastern Michigan,Eagles
NCSU,NC State,Wolfpack
OLE,Ole Miss,Rebels
FAU,Florida Atlantic,Owls
SDSU,San Diego State,Aztecs
BALL,Ball State,Cardinals
BYU,Brigham Young,Cougars
KENT,Kent State,Golden Flashes
WMU,Western Michigan,Broncos
ISU,Iowa State,Cyclones
TAMU,Texas A&M,Aggies
WSU,Washington State,Cougars
MIA-O,Miami (OH),RedHawks
ID,Idaho,Vandals
LTU,Louisiana Tech,Bulldogs
NMSU,New Mexico State,Aggies
UCONN,UConn,Huskies
FIU,Florida International,Panthers
BG,Bowling Green,Falcons
CMU,Central Michigan,Chippewas
NIU,Northern Illinois,Huskies
COLS,Colorado State,Rams
TULA,Tulane,Green Wave
SMU,SMU,Mustangs
UNLV,UNLV,Rebels
LA-L,Louisiana,Ragin' Cajuns
ULM,UL Monroe,Warhawks
BST,Boise State,Broncos
ECU,East Carolina,Pirates
NU,Northwestern,Wildcats
MTSU,Middle Tennessee,Blue Raiders
SFU,South Florida,Bulls
MRSH,Marshall,Thundering Herd
UTST,Utah State,Aggies
UCLA,UCLA,Bruins
CCU,Coastal Carolina,Chanticleers
DUKE,Duke,Blue Devils
CLT,Charlotte,49ers
MASS,UMass,Minutemen
GAST,Georgia State,Panthers
APP,Appalachian State,Mountaineers
ALA,Alabama,Crimson Tide
TROY,Troy,Trojans
NAVY,Navy,Midshipmen
OHIO,Ohio,Bobcats
AKR,Akron,Zips
GASO,Georgia Southern,Eagles
ARMY,Army,Black Knights
UTSA,UTSA,Roadrunners
RICE,Rice,Owls
AFA,Air Force,Falcons
MSST,Mississippi State,Bulldogs
LIB,Liberty,Flames
UAB,UAB,Blazers
USA,South Alabama,Jaguars
UTEP,UTEP,Miners
ODU,Old Dominion,Monarchs